Character,Character Name,Code Point,Block,Plane,Category
¢,CENT SIGN,U+00A2,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Currency"
°,DEGREE SIGN,U+00B0,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Other"
±,PLUS-MINUS SIGN,U+00B1,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Math"
½,VULGAR FRACTION ONE HALF,U+00BD,Latin-1 Supplement,Plane 0 (BMP),"Number, Fraction"
¼,VULGAR FRACTION ONE QUARTER,U+00BC,Latin-1 Supplement,Plane 0 (BMP),"Number, Fraction"
¾,VULGAR FRACTION THREE QUARTERS,U+00BE,Latin-1 Supplement,Plane 0 (BMP),"Number, Fraction"
§,SECTION SIGN,U+00A7,Latin-1 Supplement,Plane 0 (BMP),"Punctuation, Other"
†,DAGGER,U+2020,General Punctuation,Plane 0 (BMP),"Punctuation, Other"
‡,DOUBLE DAGGER,U+2021,General Punctuation,Plane 0 (BMP),"Punctuation, Other"
•,BULLET,U+2022,General Punctuation,Plane 0 (BMP),"Punctuation, Other"
… ,HORIZONTAL ELLIPSIS,U+2026,General Punctuation,Plane 0 (BMP),"Punctuation, Other"
—,EM DASH,U+2014,General Punctuation,Plane 0 (BMP),"Punctuation, Dash"
–,EN DASH,U+2013,General Punctuation,Plane 0 (BMP),"Punctuation, Dash"
“,LEFT DOUBLE QUOTATION MARK,U+201C,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
”,RIGHT DOUBLE QUOTATION MARK,U+201D,General Punctuation,Plane 0 (BMP),"Punctuation, Close"
‘,LEFT SINGLE QUOTATION MARK,U+2018,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
’,RIGHT SINGLE QUOTATION MARK,U+2019,General Punctuation,Plane 0 (BMP),"Punctuation, Close"
«,LEFT-POINTING DOUBLE ANGLE QUOTATION MARK,U+00AB,Latin-1 Supplement,Plane 0 (BMP),"Punctuation, Open"
»,RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK,U+00BB,Latin-1 Supplement,Plane 0 (BMP),"Punctuation, Close"
„,DOUBLE LOW-9 QUOTATION MARK,U+201E,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
†,SINGLE LOW-9 QUOTATION MARK,U+201A,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
‹,SINGLE LEFT-POINTING ANGLE QUOTATION MARK,U+2039,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
›,SINGLE RIGHT-POINTING ANGLE QUOTATION MARK,U+203A,General Punctuation,Plane 0 (BMP),"Punctuation, Close"
‟,DOUBLE HIGH-REVERSED-9 QUOTATION MARK,U+201F,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
‚,SINGLE HIGH-REVERSED-9 QUOTATION MARK,U+201B,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
™,REGISTERED SIGN,U+00AE,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Other"
℠,SERVICE MARK,U+2120,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
№,NUMERO SIGN,U+2116,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℗,SOUND RECORDING COPYRIGHT,U+2117,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℞,PRESCRIPTION TAKE,U+211E,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℮,ESTIMATED SYMBOL,U+212E,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℅,CADA UNA,U+2105,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℃,DEGREES CELSIUS,U+2103,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℉,DEGREES FAHRENHEIT,U+2109,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
K,KELVIN SIGN,U+212A,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
Ω,OHM SIGN,U+2126,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
µ,MICRO SIGN,U+00B5,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
Å,LATIN CAPITAL LETTER A WITH RING ABOVE,U+00C5,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Æ,LATIN CAPITAL LETTER AE,U+00C6,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ç,LATIN CAPITAL LETTER C WITH CEDILLA,U+00C7,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ð,LATIN CAPITAL LETTER ETH,U+00D0,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ñ,LATIN CAPITAL LETTER N WITH TILDE,U+00D1,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ò,LATIN CAPITAL LETTER O WITH GRAVE,U+00D2,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ó,LATIN CAPITAL LETTER O WITH ACUTE,U+00D3,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ô,LATIN CAPITAL LETTER O WITH CIRCUMFLEX,U+00D4,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Õ,LATIN CAPITAL LETTER O WITH TILDE,U+00D5,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ö,LATIN CAPITAL LETTER O WITH DIAERESIS,U+00D6,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ø,LATIN CAPITAL LETTER O WITH STROKE,U+00D8,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ù,LATIN CAPITAL LETTER U WITH GRAVE,U+00D9,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ú,LATIN CAPITAL LETTER U WITH ACUTE,U+00DA,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Û,LATIN CAPITAL LETTER U WITH CIRCUMFLEX,U+00DB,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ü,LATIN CAPITAL LETTER U WITH DIAERESIS,U+00DC,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Ý,LATIN CAPITAL LETTER Y WITH ACUTE,U+00DD,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
Þ,LATIN CAPITAL LETTER THORN,U+00DE,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
ß,LATIN SMALL LETTER SHARP S,U+00DF,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
à,LATIN SMALL LETTER A WITH GRAVE,U+00E0,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
á,LATIN SMALL LETTER A WITH ACUTE,U+00E1,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
â,LATIN SMALL LETTER A WITH CIRCUMFLEX,U+00E2,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ã,LATIN SMALL LETTER A WITH TILDE,U+00E3,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ä,LATIN SMALL LETTER A WITH DIAERESIS,U+00E4,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
å,LATIN SMALL LETTER A WITH RING ABOVE,U+00E5,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
æ,LATIN SMALL LETTER AE,U+00E6,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ç,LATIN SMALL LETTER C WITH CEDILLA,U+00E7,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
è,LATIN SMALL LETTER E WITH GRAVE,U+00E8,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ê,LATIN SMALL LETTER E WITH CIRCUMFLEX,U+00EA,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ë,LATIN SMALL LETTER E WITH DIAERESIS,U+00EB,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ì,LATIN SMALL LETTER I WITH GRAVE,U+00EC,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
í,LATIN SMALL LETTER I WITH ACUTE,U+00ED,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
î,LATIN SMALL LETTER I WITH CIRCUMFLEX,U+00EE,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ï,LATIN SMALL LETTER I WITH DIAERESIS,U+00EF,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ð,LATIN SMALL LETTER ETH,U+00F0,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ñ,LATIN SMALL LETTER N WITH TILDE,U+00F1,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ò,LATIN SMALL LETTER O WITH GRAVE,U+00F2,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ó,LATIN SMALL LETTER O WITH ACUTE,U+00F3,Latin-1 Supplement,Plane 0 (BMP),"Letter, Uppercase"
ô,LATIN SMALL LETTER O WITH CIRCUMFLEX,U+00F4,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
õ,LATIN SMALL LETTER O WITH TILDE,U+00F5,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ö,LATIN SMALL LETTER O WITH DIAERESIS,U+00F6,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ø,LATIN SMALL LETTER O WITH STROKE,U+00F8,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ù,LATIN SMALL LETTER U WITH GRAVE,U+00F9,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ú,LATIN SMALL LETTER U WITH ACUTE,U+00FA,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
û,LATIN SMALL LETTER U WITH CIRCUMFLEX,U+00FB,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ü,LATIN SMALL LETTER U WITH DIAERESIS,U+00FC,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ý,LATIN SMALL LETTER Y WITH ACUTE,U+00FD,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
þ,LATIN SMALL LETTER THORN,U+00FE,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
ÿ,LATIN SMALL LETTER Y WITH DIAERESIS,U+00FF,Latin-1 Supplement,Plane 0 (BMP),"Letter, Lowercase"
„,DOUBLE LOW-9 QUOTATION MARK,U+201E,General Punctuation,Plane 0 (BMP),"Punctuation, Open"
℃,DEGREES CELSIUS,U+2103,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℉,DEGREES FAHRENHEIT,U+2109,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
№,NUMERO SIGN,U+2116,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
™,TRADE MARK SIGN,U+2122,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℠,SERVICE MARK,U+2120,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℗,SOUND RECORDING COPYRIGHT,U+2117,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℅,CARE OF,U+2105,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℮,ESTIMATED SYMBOL,U+212E,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
K,KELVIN SIGN,U+212A,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
Ω,OHM SIGN,U+2126,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
Å,ANGSTROM SIGN,U+212B,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℬ,SCRIPT CAPITAL B,U+212C,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℰ,SCRIPT CAPITAL E,U+2130,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℱ,SCRIPT CAPITAL F,U+2131,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℋ,SCRIPT CAPITAL H,U+210B,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℐ,SCRIPT CAPITAL I,U+2110,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℒ,SCRIPT CAPITAL L,U+2112,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℳ,SCRIPT CAPITAL M,U+2133,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℛ,SCRIPT CAPITAL R,U+211B,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℤ,DOUBLE-STRUCK CAPITAL Z,U+2124,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℨ,BLACK-LETTER CAPITAL Z,U+2128,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℬ,BLACK-LETTER CAPITAL B,U+212C,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℭ,BLACK-LETTER CAPITAL C,U+212D,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℯ,SCRIPT SMALL E,U+212F,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℊ,SCRIPT SMALL G,U+210A,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℎ,SCRIPT SMALL H,U+210E,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℓ,SCRIPT SMALL L,U+2113,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℴ,SCRIPT SMALL O,U+2134,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℵ,ALEF SYMBOL,U+2135,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℶ,BET SYMBOL,U+2136,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℷ,GIMEL SYMBOL,U+2137,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℸ,DALET SYMBOL,U+2138,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
ℹ,INFORMATION SOURCE,U+2139,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
℺,ROTATED FLEURON,U+213A,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
⤴,UPWARDS ARROW WITH CORNER RIGHTWARDS,U+21AA,Arrows,Plane 0 (BMP),"Symbol, Other"
⤵,DOWNWARDS ARROW WITH CORNER RIGHTWARDS,U+21AB,Arrows,Plane 0 (BMP),"Symbol, Other"
⇋,LEFT RIGHT DOUBLE ARROW,U+21CC,Arrows,Plane 0 (BMP),"Symbol, Other"
⇌,RIGHT LEFT DOUBLE ARROW,U+21CB,Arrows,Plane 0 (BMP),"Symbol, Other"
⇐,LEFTWARDS DOUBLE ARROW,U+21D0,Arrows,Plane 0 (BMP),"Symbol, Other"
⇑,UPWARDS DOUBLE ARROW,U+21D1,Arrows,Plane 0 (BMP),"Symbol, Other"
⇒,RIGHTWARDS DOUBLE ARROW,U+21D2,Arrows,Plane 0 (BMP),"Symbol, Other"
⇓,DOWNWARDS DOUBLE ARROW,U+21D3,Arrows,Plane 0 (BMP),"Symbol, Other"
⇔,LEFT RIGHT DOUBLE ARROW,U+21D4,Arrows,Plane 0 (BMP),"Symbol, Other"
⟺,LEFT RIGHT DOUBLE ARROW,U+21D4,Arrows,Plane 0 (BMP),"Symbol, Other"
⇕,UP DOWN DOUBLE ARROW,U+21D5,Arrows,Plane 0 (BMP),"Symbol, Other"
⇖,NORTH WEST DOUBLE ARROW,U+21D6,Arrows,Plane 0 (BMP),"Symbol, Other"
⇗,NORTH EAST DOUBLE ARROW,U+21D7,Arrows,Plane 0 (BMP),"Symbol, Other"
⇘,SOUTH EAST DOUBLE ARROW,U+21D8,Arrows,Plane 0 (BMP),"Symbol, Other"
⇙,SOUTH WEST DOUBLE ARROW,U+21D9,Arrows,Plane 0 (BMP),"Symbol, Other"
⇚,LEFTWARDS TRIPLE ARROW,U+21DA,Arrows,Plane 0 (BMP),"Symbol, Other"
⇛,RIGHTWARDS TRIPLE ARROW,U+21DB,Arrows,Plane 0 (BMP),"Symbol, Other"
⇜,LEFTWARDS SQUIGGLE ARROW,U+21DC,Arrows,Plane 0 (BMP),"Symbol, Other"
⇝,RIGHTWARDS SQUIGGLE ARROW,U+21DD,Arrows,Plane 0 (BMP),"Symbol, Other"
⇠,LEFTWARDS DASHED ARROW,U+21E0,Arrows,Plane 0 (BMP),"Symbol, Other"
⇢,RIGHTWARDS DASHED ARROW,U+21E2,Arrows,Plane 0 (BMP),"Symbol, Other"
⤒,UPWARDS DASHED ARROW,U+21E1,Arrows,Plane 0 (BMP),"Symbol, Other"
⤓,DOWNWARDS DASHED ARROW,U+21E3,Arrows,Plane 0 (BMP),"Symbol, Other"
⤄,LEFTWARDS ARROW TO BAR,U+21E4,Arrows,Plane 0 (BMP),"Symbol, Other"
⤅,RIGHTWARDS ARROW TO BAR,U+21E5,Arrows,Plane 0 (BMP),"Symbol, Other"
⤆,LEFTWARDS OPEN-HEADED ARROW,U+21E6,Arrows,Plane 0 (BMP),"Symbol, Other"
⤇,RIGHTWARDS OPEN-HEADED ARROW,U+21E7,Arrows,Plane 0 (BMP),"Symbol, Other"
⤈,LEFTWARDS OPEN-HEADED DOUBLE ARROW,U+21E8,Arrows,Plane 0 (BMP),"Symbol, Other"
⤉,RIGHTWARDS OPEN-HEADED DOUBLE ARROW,U+21E9,Arrows,Plane 0 (BMP),"Symbol, Other"
⤊,UPWARDS WHITE ARROW,U+21EA,Arrows,Plane 0 (BMP),"Symbol, Other"
⤋,DOWNWARDS WHITE ARROW,U+21EB,Arrows,Plane 0 (BMP),"Symbol, Other"
⌛,HOURGLASS,U+231B,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
⌚,WATCH,U+231A,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
©,COPYRIGHT SIGN,U+00A9,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Other"
®,REGISTERED SIGN,U+00AE,Latin-1 Supplement,Plane 0 (BMP),"Symbol, Other"
™,TRADE MARK SIGN,U+2122,Letterlike Symbols,Plane 0 (BMP),"Symbol, Other"
€,EURO SIGN,U+20AC,Currency Symbols,Plane 0 (BMP),"Symbol, Currency"
₹,INDIAN RUPEE SIGN,U+20B9,Currency Symbols,Plane 0 (BMP),"Symbol, Currency"
₽,RUBLE SIGN,U+20BD,Currency Symbols,Plane 0 (BMP),"Symbol, Currency"
₩,WON SIGN,U+20A9,Currency Symbols,Plane 0 (BMP),"Symbol, Currency"
₿,BITCOIN SIGN,U+20BF,Currency Symbols,Plane 0 (BMP),"Symbol, Currency"
⌘,PLACE OF INTEREST SIGN,U+2318,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
⌥,OPTION KEY,U+2325,Miscellaneous Symbols,Plane 0 (BMP),"Symbol, Other"
⌃,UP ARROWHEAD,U+2303,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⇧,UPWARDS WHITE ARROW,U+21EA,Arrows,Plane 0 (BMP),"Symbol, Other"
⌫,DELETE TO THE LEFT SIGN,U+232B,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⌦,ERASE TO THE RIGHT,U+2326,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⎋,ESCAPE,U+238B,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⌤,ENTER,U+2384,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⏎,RETURN SYMBOL,U+23CE,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⌫,BACKSPACE,U+232B,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⌧,KEYBOARD LEFT ARROW,U+2327,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⌤,KEYBOARD RETURN,U+2384,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
⌫,KEYBOARD BACKSPACE,U+232B,Miscellaneous Technical,Plane 0 (BMP),"Symbol, Other"
␠,SPACE,U+2420,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␣,BLANK SYMBOL,U+2422,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␤,SYMBOL FOR NEWLINE,U+2424,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␋,SYMBOL FOR LINE FEED,U+240A,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␍,SYMBOL FOR CARRIAGE RETURN,U+240D,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␊,SYMBOL FOR LINE FEED,U+240A,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␎,SYMBOL FOR SHIFT OUT,U+240E,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␏,SYMBOL FOR SHIFT IN,U+240F,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␐,SYMBOL FOR DATA LINK ESCAPE,U+2410,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␑,SYMBOL FOR DEVICE CONTROL ONE,U+2411,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␒,SYMBOL FOR DEVICE CONTROL TWO,U+2412,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␓,SYMBOL FOR DEVICE CONTROL THREE,U+2413,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␔,SYMBOL FOR DEVICE CONTROL FOUR,U+2414,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␕,SYMBOL FOR NEGATIVE ACKNOWLEDGE,U+2415,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␖,SYMBOL FOR SYNCHRONOUS IDLE,U+2416,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␗,SYMBOL FOR END OF TRANSMISSION BLOCK,U+2417,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␘,SYMBOL FOR CANCEL,U+2418,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␙,SYMBOL FOR END OF MEDIUM,U+2419,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␚,SYMBOL FOR SUBSTITUTE,U+241A,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␛,SYMBOL FOR ESCAPE,U+241B,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␜,SYMBOL FOR FILE SEPARATOR,U+241C,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␝,SYMBOL FOR GROUP SEPARATOR,U+241D,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␞,SYMBOL FOR RECORD SEPARATOR,U+241E,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␟,SYMBOL FOR UNIT SEPARATOR,U+241F,Control Pictures,Plane 0 (BMP),"Symbol, Other"
␡,SYMBOL FOR DELETE,U+2421,Control Pictures,Plane 0 (BMP),"Symbol, Other"
─,BOX DRAWINGS LIGHT HORIZONTAL,U+2500,Box Drawing,Plane 0 (BMP),"Symbol, Other"
│,BOX DRAWINGS LIGHT VERTICAL,U+2502,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┌,BOX DRAWINGS LIGHT DOWN AND RIGHT,U+250C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┐,BOX DRAWINGS LIGHT DOWN AND LEFT,U+2510,Box Drawing,Plane 0 (BMP),"Symbol, Other"
└,BOX DRAWINGS LIGHT UP AND RIGHT,U+2514,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┘,BOX DRAWINGS LIGHT UP AND LEFT,U+2518,Box Drawing,Plane 0 (BMP),"Symbol, Other"
├,BOX DRAWINGS LIGHT VERTICAL AND RIGHT,U+251C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┤,BOX DRAWINGS LIGHT VERTICAL AND LEFT,U+2524,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┬,BOX DRAWINGS LIGHT DOWN AND HORIZONTAL,U+252C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┴,BOX DRAWINGS LIGHT UP AND HORIZONTAL,U+2534,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┼,BOX DRAWINGS LIGHT VERTICAL AND HORIZONTAL,U+253C,Box Drawing,Plane 0 (BMP),"Symbol, Other"
━,BOX DRAWINGS HEAVY HORIZONTAL,U+2501,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┃,BOX DRAWINGS HEAVY VERTICAL,U+2503,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┏,BOX DRAWINGS HEAVY DOWN AND RIGHT,U+250F,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┓,BOX DRAWINGS HEAVY DOWN AND LEFT,U+2513,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┗,BOX DRAWINGS HEAVY UP AND RIGHT,U+2517,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┛,BOX DRAWINGS HEAVY UP AND LEFT,U+251B,Box Drawing,Plane 0 (BMP),"Symbol, Other"
┣,BOX DRAWINGS HEAVY VERTICAL AND RIGHT,U+2523,Box Drawing,Plane 0 (BMP),"Symbol, Other"
